"ID","LEVEL_ID","ELEVATION","WIDTH","HEIGHT","LENGTH","AREA","VOLUME","SECTION_PROFILE_STYLE","SHAPE_PROFILE","MARK","MATERIAL","MATERIAL_DENSITY","MATERIAL_THERMAL_CONDUCTIVITY"
"101403","100001","100.00","80.00","80.00","4920.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"101442","100001","100.00","80.00","80.00","7920.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"101578","100001","100.00","80.00","80.00","7920.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"101703","100001","100.00","80.00","80.00","4920.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"106122","100001","2400.00","80.00","80.00","5000.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"106123","100001","2400.00","80.00","80.00","8000.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"106125","100001","2400.00","80.00","80.00","8000.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"106126","100001","2460.00","20.00","60.00","5070.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"106127","100001","2460.00","20.00","60.00","5070.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"106128","100001","2460.00","20.00","60.00","5070.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"106129","100001","2400.00","80.00","80.00","5000.00","11.75","0.01","13","Пользовательская","","(нет)","",""
"118530","100001","2460.00","20.00","60.00","5070.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"118711","100001","2460.00","20.00","60.00","5070.00","5.62","0.00","12","Пользовательская","","(нет)","",""
