"ID","LEVEL_ID","WIDTH","DEPTH","ELEVATION","HEIGHT","AREA","VOLUME","SECTION_PROFILE_STYLE","SHAPE_PROFILE","MARK","MATERIAL","MATERIAL_DENSITY","MATERIAL_THERMAL_CONDUCTIVITY"
"100690","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100699","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100702","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100705","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100708","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100711","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100714","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100923","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100963","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100964","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100965","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"100966","100001","80.00","80.00","0.00","2320.00","11.75","0.00","11","Пользовательская","","(нет)","",""
"141205","100001","20.00","60.00","2440.00","410.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"142273","100001","20.00","60.00","2440.00","410.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"142299","100001","20.00","60.00","2440.00","410.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"142340","100001","20.00","60.00","2440.00","410.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"142367","100001","20.00","60.00","2440.00","410.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143666","100001","20.00","60.00","2460.00","270.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143667","100001","20.00","60.00","2460.00","270.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143668","100001","20.00","60.00","2460.00","270.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143669","100001","20.00","60.00","2460.00","270.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143670","100001","20.00","60.00","2460.00","270.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143774","100001","20.00","60.00","2460.00","350.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143775","100001","20.00","60.00","2460.00","350.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143776","100001","20.00","60.00","2460.00","350.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143777","100001","20.00","60.00","2460.00","350.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"143778","100001","20.00","60.00","2460.00","350.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"144011","100001","20.00","60.00","2460.00","140.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"144012","100001","20.00","60.00","2460.00","140.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"144013","100001","20.00","60.00","2460.00","140.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"144014","100001","20.00","60.00","2460.00","140.00","5.62","0.00","12","Пользовательская","","(нет)","",""
"144015","100001","20.00","60.00","2460.00","140.00","5.62","0.00","12","Пользовательская","","(нет)","",""
