"PROJECT_PROPERTIES"
"FILENAME","VERSION","CREATION_DATE","MODIFIED_DATE"
"C:\Users\vstar\Desktop\3D\RENGA MODELS\naves.rnp","4.8.36912.0","2021-7-8T19:22:20Z","2021-7-8T19:22:21Z"
"DOOR_FORMS"
"UID","FORM_NAME"
"1","Прямоугольный проём"
"2","Овальный проём"
"3","Арочный проём"
"4","Левый полуарочный проём"
"5","Правый полуарочный проём"
"6","Трапециевидный проём"
"7","Левый полутрапециевидный проём"
"8","Правый полутрапециевидный проём"
"DOOR_STYLES"
"ID","STYLE_NAME"
"2","Однопольная распашная (остекленное)"
"3","Однопольная распашная (глухое)"
"4","Двупольная распашная (глухое)"
"5","Двупольная распашная с полотнами разной ширины (глухое)"
"6","Однопольная откатная (остекленное)"
"7","Однопольная качающаяся (глухое)"
"8","Однопольная складчатая"
"9","Однопольная подъемная"
"10","Вращающаяся (остекленное)"
"11","Четырехпольная откатная (остеклённое)"
"WINDOW_FORMS"
"UID","FORM_NAME"
"1","Прямоугольный проём"
"2","Овальный проём"
"3","Арочный проём"
"4","Левый полуарочный проём"
"5","Правый полуарочный проём"
"6","Трапециевидный проём"
"7","Левый полутрапециевидный проём"
"8","Правый полутрапециевидный проём"
"WINDOW_STYLES"
"ID","STYLE_NAME"
"2","Одностворчатое"
"3","Двустворчатое"
"4","Трехстворчатое"
"5","Двустворчатое с фрамугой"
"6","Трехстворчатое с фрамугой"
"7","Одностворчатое с фрамугой"
"FOOTING_FORMS"
"UID","FORM_NAME"
"1","Прямоугольный"
"6","Трапециевидный"
"LEVELS"
"ID","CAPTION","ELEVATION"
"100001","Базовый уровень","0.000"
"141268","Уровень 1","2.420"
"COLUMN_SECTION_STYLES"
"ID","NAME"
"1","По умолчанию"
"2","Прямоугольная 300x300"
"3","Круглая 300x300"
"4","Эллиптическая 400x300"
"5","I 20K1"
"6","C 20"
"7","L 200x12"
"8","T 20K1"
"9","Новый стиль колонны"
"10","Новый стиль колонны (1)"
"11","80x80x4"
"12","60x20x4"
"BEAM_SECTION_STYLES"
"ID","NAME"
"1","По умолчанию"
"2","Прямоугольная 300х400"
"3","Тавр 700х400"
"4","Уголок 500х400"
"5","Швеллер 400х400"
"6","I 20B1"
"7","T 20Б1"
"8","C 20"
"9","L 200x12"
"10","Новый стиль балки"
"11","Новый стиль балки (1)"
"12","60x20x4"
"13","80x80x4"
"PLATE_SECTION_STYLES"
"ID","NAME"
"1","По умолчанию"
"ELEMENT_STYLES"
"ID","STYLE_NAME","SHAPE_REPRESENTATION"
"2","Новый стиль элемента","Solid"
"3","Новый стиль элемента 1","Solid"
"REINFORCEMENT_CLASSES"
"ID","NAME","TENSILE"
"2","А-I (А240)","380.00"
"3","А-II (А300)","500.00"
"4","А-III (А400)","600.00"
"5","А-IV (А600)","900.00"
"6","А-V (А800)","1050.00"
"7","А-VI (А1000)","1200.00"
"8","А500С","600.00"
"9","Ат-IIIС (Ат400С)","550.00"
"10","Ат-IVС (Ат600С)","800.00"
"11","В500С","700.00"
"RAMP_FORMS"
"ID","STYLE_NAME"
"1","Сплошной"
"2","Утолщенный"
"STAIRWAY_FORMS"
"ID","STYLE_NAME"
"1","Контурная"
"2","Утолщенная"
"3","Сплошная"
"4","Открытая"
"ASSEMBLY_STYLES"
"ID","STYLE_NAME"
